response_id,question,university,true_label,predicted_label
R_2rCa1N6N3d3HwaW,Q1_UTEP,"UTEP: University of Texas, El Paso",0,0
R_1l6k4qkDrqMeRvb,Q1_UTEP,"UTEP: University of Texas, El Paso",1,0
R_3NIlzVxxdTzlwpc,Q1_UTEP,"UTEP: University of Texas, El Paso",1,0
R_2WPGuT5oAsecvWe,Q1_UTEP,"UTEP: University of Texas, El Paso",0,0
R_2wzPuumMQ1zGGe4,Q1_UTEP,"UTEP: University of Texas, El Paso",0,0
R_1jCjVLKNgb2huSg,Q1_UTEP,"UTEP: University of Texas, El Paso",0,0
R_7IPME13SknzIWBL,Q3_ISU,ISU: Iowa State University,1,0
R_5Ddtdgsx9r0zrQc,Q3_ISU,ISU: Iowa State University,0,0
R_1e5v6fwwBF04jrM,Q3_ISU,ISU: Iowa State University,0,0
R_1jNVk8aO7n6DGcI,Q3_ISU,ISU: Iowa State University,1,0
R_1f8rzzLS6uKlRkw,Q3_ISU,ISU: Iowa State University,1,0
R_6e8RHrMXSwpiDIZ,Q3_ISU,ISU: Iowa State University,0,0
R_34ywUo6x0ujtnJT,Q3_ISU,ISU: Iowa State University,2,0
R_5rT1LgRg1A2Kkya,Q3_ISU,ISU: Iowa State University,0,0
R_5Gjj4Jg955jPXVo,Q3_ISU,ISU: Iowa State University,1,0
R_6gJV0etfg9R0cnf,Q3_ISU,ISU: Iowa State University,1,0
R_3xFBEh15xQlVRnq,Q3_ISU,ISU: Iowa State University,0,0
R_6PG1Cuv76VepqWl,Q3_ISU,ISU: Iowa State University,0,0
R_71gpBDaoM71iOWd,Q3_ISU,ISU: Iowa State University,0,0
R_35Lcxmkaz67yob7,Q3_ISU,ISU: Iowa State University,1,0
R_58R6JUKSuomDZAJ,Q3_ISU,ISU: Iowa State University,0,0
R_5gBZoyE4vNPGlI5,Q3_ISU,ISU: Iowa State University,0,0
R_1eA84Im7beahoY1,Q3_ISU,ISU: Iowa State University,0,0
R_7fdTODCfM0sSAS3,Q3_ISU,ISU: Iowa State University,0,0
R_1hMg5JnEnxc5DvY,Q3_ISU,ISU: Iowa State University,0,0
R_11ggthKN9fi3OAX,Q3_ISU,ISU: Iowa State University,0,0
R_5pgaq0pYCpZl0Yn,Q3_ISU,ISU: Iowa State University,0,0
R_6yeK7gFLIyf5hg3,Q3_ISU,ISU: Iowa State University,0,0
R_1nX6cppexZiCa3f,Q3_ISU,ISU: Iowa State University,1,0
R_32lNgQM6f5cqFfH,Q3_ISU,ISU: Iowa State University,0,0
R_7eskBBLFPrXiCcX,Q3_ISU,ISU: Iowa State University,0,0
R_6S6l3EmaWPCUCtQ,Q3_ISU,ISU: Iowa State University,0,0
R_1OnLYobBrU0J9n3,Q4_ISU,ISU: Iowa State University,0,0
R_6KW9lx7XeHmSWuY,Q4_ISU,ISU: Iowa State University,1,0
R_6H1CDySa09NOhIF,Q4_ISU,ISU: Iowa State University,1,0
R_5daTTG5Nj0bpgIQ,Q4_ISU,ISU: Iowa State University,0,0
R_3clD3zfmf2dSJC9,Q4_ISU,ISU: Iowa State University,0,0
R_1M3gVjepPyGy6gQ,Q4_ISU,ISU: Iowa State University,2,0
R_1oAxLJaF7Ca3G4k,Q4_ISU,ISU: Iowa State University,0,0
R_1ctEuox4xtQMb32,Q4_ISU,ISU: Iowa State University,1,0
R_1zItB9clYizWYzB,Q4_ISU,ISU: Iowa State University,0,0
R_7qwjqzh8MkMxwkl,Q4_ISU,ISU: Iowa State University,0,0
R_1VR7Wcu6KzUgkBs,Q4_ISU,ISU: Iowa State University,0,0
R_6rRMoJwCrYSQv8B,Q4_ISU,ISU: Iowa State University,1,2
R_7PTTlI8rRTywj9x,Q4_ISU,ISU: Iowa State University,1,0
R_2AHnha63e5ixr3O,Q2_UF,UF: University of Florida,0,0
R_ePypgfabK1EGpoZ,Q2_UF,UF: University of Florida,0,0
